Author;Year;Title;Reference type;Periodical;publication
"Adamson, P.; Marshall, C. J.; Hall, A.; Tilbrook, P. A.";1992;Post-translational modifications of p21rho proteins;Journal Article;Journal of Biological Chemistry;doi:10.1016/S0021-9258(19)88661-1
"Armstrong, S. A.; Hannah, V. C.; Goldstein, J. L.; Brown, M. S.";1995;CAAX geranylgeranyl transferase transfers farnesyl as efficiently as geranylgeranyl to RhoB;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.270.14.7864
"Ashar, H. R.; James, L.; Gray, K.; Carr, D.; Black, S.; Armstrong, L.; Bishop, W. R.; Kirschmeier, P.";2000;Farnesyl transferase inhibitors block the farnesylation of CENP-E and CENP-F and alter the association of CENP-E with the microtubules;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M003469200
"Basso, Andrea D.; Mirza, Asra; Liu, Gongjie; Long, Brian J.; Bishop, W. Robert; Kirschmeier, Paul";2005;The farnesyl transferase inhibitor (FTI) SCH66336 (lonafarnib) inhibits Rheb farnesylation and mTOR signaling. Role in FTI enhancement of taxane and tamoxifen anti-tumor activity;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M503763200
"Britzen-Laurent, Nathalie; Bauer, Michael; Berton, Valeria; Fischer, Nicole; Syguda, Adrian; Reipschläger, Simone; Naschberger, Elisabeth; Herrmann, Christian; Stürzl, Michael";2010;Intracellular trafficking of guanylate-binding proteins is regulated by heterodimerization in a hierarchical manner;Journal Article;PLoS ONE;doi:10.1371/journal.pone.0014246
"Buss, J. E.; Quilliam, L. A.; Kato, K.; Casey, P. J.; Solski, P. A.; Wong, G.; Clark, R.; McCormick, F.; Bokoch, G. M.; Der, C. J.";1991;The COOH-terminal domain of the Rap1A (Krev-1) protein is isoprenylated and supports transformation by an H-Ras:Rap1A chimeric protein;Journal Article;Mol Cell Biol (Molecular and Cellular Biology);doi:10.1128/mcb.11.3.1523-1530.1991
"Cates, C. A.; Michael, R. L.; Stayrook, K. R.; Harvey, K. A.; Burke, Y. D.; Randall, S. K.; Crowell, P. L.; Crowell, D. N.";1996;Prenylation of oncogenic human PTP(CAAX) protein tyrosine phosphatases;Journal Article;Cancer Letters;doi:10.1016/s0304-3835(96)04459-x
"Catherman, Adam D.; Durbin, Kenneth R.; Ahlf, Dorothy R.; Early, Bryan P.; Fellers, Ryan T.; Tran, John C.; Thomas, Paul M.; Kelleher, Neil L.";2013;Large-scale top-down proteomics of the human proteome: membrane proteins, mitochondria, and senescence;Journal Article;Molecular & cellular proteomics : MCP;doi:10.1074/mcp.M113.030114
"Chapple, J. Paul; Cheetham, Michael E.";2003;The chaperone environment at the cytoplasmic face of the endoplasmic reticulum can modulate rhodopsin processing and inclusion formation;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M212349200
"Dasgupta, S.; Wasson, L. M.; Rauniyar, N.; Prokai, L.; Borejdo, J.; Vishwanatha, J. K.";2009;Novel gene C17orf37 in 17q12 amplicon promotes migration and invasion of prostate cancer cells;Journal Article;Oncogene;doi:10.1038/onc.2009.145
"Dasgupta, Subhamoy; Cushman, Ian; Kpetemey, Marilyne; Casey, Patrick J.; Vishwanatha, Jamboor K.";2011;Prenylated c17orf37 induces filopodia formation to promote cell migration and metastasis;Journal Article;The Journal of biological chemistry;doi:10.1074/jbc.M111.254599
"Dharmaiah, Srisathiyanarayanan; Bindu, Lakshman; Tran, Timothy H.; Gillette, William K.; Frank, Peter H.; Ghirlando, Rodolfo; Nissley, Dwight V.; Esposito, Dominic; McCormick, Frank; Stephen, Andrew G.; Simanshu, Dhirendra K.";2016;Structural basis of recognition of farnesylated and methylated KRAS4b by PDEδ;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.1615316113
"Downes, Brian P.; Saracco, Scott A.; Lee, Sang Sook; Crowell, Dring N.; Vierstra, Richard D.";2006;MUBs, a family of ubiquitin-fold proteins that are plasma membrane-anchored by prenylation;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M602283200
"Dudler, T.; Gelb, M. H.";1996;Palmitoylation of Ha-Ras facilitates membrane binding, activation of downstream effectors, and meiotic maturation in Xenopus oocytes;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.271.19.11541
"Elam, Candice; Hesson, Luke; Vos, Michele D.; Eckfeld, Kristin; Ellis, Chad A.; Bell, Aaron; Krex, Dietmar; Birrer, Michael J.; Latif, Farida; Clark, Geoffrey J.";2005;RRP22 is a farnesylated, nucleolar, Ras-related protein with tumor suppressor potential;Journal Article;Cancer Research;doi:10.1158/0008-5472.CAN-04-0749
"Falsetti, Samuel C.; Wang, De-an; Peng, Hairuo; Carrico, Dora; Cox, Adrienne D.; Der, Channing J.; Hamilton, Andrew D.; Sebti, Saïd M.";2007;Geranylgeranyltransferase I inhibitors target RalB to inhibit anchorage-dependent growth and induce apoptosis and RalA to inhibit anchorage-independent growth;Journal Article;Mol Cell Biol (Molecular and Cellular Biology);doi:10.1128/MCB.00057-07
"Farnsworth, C. C.; Seabra, M. C.; Ericsson, L. H.; Gelb, M. H.; Glomset, J. A.";1994;Rab geranylgeranyl transferase catalyzes the geranylgeranylation of adjacent cysteines in the small GTPases Rab1A, Rab3A, and Rab5A;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.91.25.11963
"Farnsworth, C. C.; Wolda, S. L.; Gelb, M. H.; Glomset, J. A.";1989;Human Lamin B Contains a Farnesylated Cysteine Residue;Journal Article;Journal of Biological Chemistry;doi:10.1016/S0021-9258(19)47079-8
"Farrell, F. X.; Yamamoto, K.; Lapetina, E. G.";1993;Prenyl group identification of rap2 proteins: a ras superfamily member other than ras that is farnesylated;Journal Article;Biochemical Journal;doi:10.1042/bj2890349
"Foster, R.; Hu, K. Q.; Lu, Y.; Nolan, K. M.; Thissen, J.; Settleman, J.";1996;Identification of a novel human Rho protein with unusual properties: GTPase deficiency and in vivo farnesylation;Journal Article;Mol Cell Biol (Molecular and Cellular Biology);doi:10.1128/MCB.16.6.2689
"Fukasawa, Masayoshi; Varlamov, Oleg; Eng, William S.; Söllner, Thomas H.; Rothman, James E.";2004;Localization and activity of the SNARE Ykt6 determined by its regulatory domain and palmitoylation;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.0401183101
"Gotoh, T.; Terada, K.; Oyadomari, S.; Mori, M.";2004;hsp70-DnaJ chaperone pair prevents nitric oxide- and CHOP-induced apoptosis by inhibiting translocation of Bax to mitochondria;Journal Article;Cell Death Differ (Cell Death & Differentiation);doi:10.1038/sj.cdd.4401369
"Hancock, J. F.; Magee, A. I.; Childs, J. E.; Marshall, C. J.";1989;All ras proteins are polyisoprenylated but only some are palmitoylated;Journal Article;Cell;doi:10.1016/0092-8674(89)90054-8
"Hoffman, G. R.; Nassar, N.; Cerione, R. A.";2000;Structure of the Rho family GTP-binding protein Cdc42 in complex with the multifunctional regulator RhoGDI;Journal Article;Cell;doi:10.1016/s0092-8674(00)80670-4
"Ichioka, Fumitaka; Kobayashi, Ryota; Katoh, Keiichi; Shibata, Hideki; Maki, Masatoshi";2008;Brox, a novel farnesylated Bro1 domain-containing protein that associates with charged multivesicular body protein 4 (CHMP4);Journal Article;FEBS Journal;doi:10.1111/j.1742-4658.2007.06230.x
"Ismail, Shehab A.; Chen, Yong-Xiang; Rusinova, Alexandra; Chandra, Anchal; Bierbaum, Martin; Gremer, Lothar; Triola, Gemma; Waldmann, Herbert; Bastiaens, Philippe I. H.; Wittinghofer, Alfred";2011;Arl2-GTP and Arl3-GTP regulate a GDI-like transport system for farnesylated cargo;Journal Article;Nat Chem Biol (Nature Chemical Biology);doi:10.1038/nchembio.686
"Jenkins, Christopher M.; Han, Xianlin; Yang, Jingyue; Mancuso, David J.; Sims, Harold F.; Muslin, Anthony J.; Gross, Richard W.";2003;Purification of recombinant human cPLA2 gamma and identification of C-terminal farnesylation, proteolytic processing, and carboxymethylation by MALDI-TOF-TOF analysis;Journal Article;Biochemistry;doi:10.1021/bi034611q
"Joberty, G.; Tavitian, A.; Zahraoui, A.";1993;Isoprenylation of Rab proteins possessing a C-terminal CaaX motif;Journal Article;FEBS Letters;doi:10.1016/0014-5793(93)80897-4
"Kammerer, S.; Arnold, N.; Gutensohn, W.; Mewes, H. W.; Kunau, W. H.; Höfler, G.; Roscher, A. A.; Braun, A.";1997;Genomic organization and molecular characterization of a gene encoding HsPXF, a human peroxisomal farnesylated protein;Journal Article;Genomics;doi:10.1006/geno.1997.4914
"Kanazawa, M.; Terada, K.; Kato, S.; Mori, M.";1997;HSDJ, a human homolog of DnaJ, is farnesylated and is involved in protein import into mitochondria;Journal Article;Journal of Biochemistry;doi:10.1093/oxfordjournals.jbchem.a021670
"Kawata, M.; Farnsworth, C. C.; Yoshida, Y.; Gelb, M. H.; Glomset, J. A.; Takai, Y.";1990;Posttranslationally processed structure of the human platelet protein smg p21B: evidence for geranylgeranylation and carboxyl methylation of the C-terminal cysteine;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.87.22.8960
"Kho, Yoonjung; Kim, Sung Chan; Jiang, Chen; Barma, Deb; Kwon, Sung Won; Cheng, Jinke; Jaunbergs, Janis; Weinbaum, Carolyn; Tamanoi, Fuyuhiko; Falck, John; Zhao, Yingming";2004;A tagging-via-substrate technology for detection and proteomics of farnesylated proteins;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.0403413101
"Khosravi-Far, R.; Lutz, R. J.; Cox, A. D.; Conroy, L.; Bourne, J. R.; Sinensky, M.; Balch, W. E.; Buss, J. E.; Der, C. J.";1991;Isoprenoid modification of rab proteins terminating in CC or CXC motifs;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.88.14.6264
"Kilic, F.; Dalton, M. B.; Burrell, S. K.; Mayer, J. P.; Patterson, S. D.; Sinensky, M.";1997;In vitro assay and characterization of the farnesylation-dependent prelamin A endoprotease;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.272.8.5298
"Kinsella, B. T.; Erdman, R. A.; Maltese, W. A.";1991;Carboxyl-terminal isoprenylation of ras-related GTP-binding proteins encoded by rac1, rac2, and ralA;Journal Article;Journal of Biological Chemistry;doi:10.1016/S0021-9258(18)92889-9
"Kitamura, Takuya; Naganuma, Tatsuro; Abe, Kensuke; Nakahara, Kanae; Ohno, Yusuke; Kihara, Akio";2013;Substrate specificity, plasma membrane localization, and lipid modification of the aldehyde dehydrogenase ALDH3B1;Journal Article;Biochimica et biophysica acta;doi:10.1016/j.bbalip.2013.05.007
"Leung, Ka Fai; Baron, Rudi; Ali, Bassam R.; Magee, Anthony I.; Seabra, Miguel C.";2007;Rab GTPases containing a CAAX motif are processed post-geranylgeranylation by proteolysis and methylation;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M605557200
"Liu, Zhihua; Meray, Robin K.; Grammatopoulos, Tom N.; Fredenburg, Ross A.; Cookson, Mark R.; Liu, Yichin; Logan, Todd; Lansbury, Peter T.";2009;Membrane-associated farnesylated UCH-L1 promotes alpha-synuclein neurotoxicity and is a therapeutic target for Parkinson's disease;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.0806474106
"Matsuzono, Y.; Kinoshita, N.; Tamura, S.; Shimozawa, N.; Hamasaki, M.; Ghaedi, K.; Wanders, R. J.; Suzuki, Y.; Kondo, N.; Fujiki, Y.";1999;Human PEX19: cDNA cloning by functional complementation, mutation analysis in a patient with Zellweger syndrome, and potential role in peroxisomal membrane assembly;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.96.5.2116
"Maurer-Stroh, Sebastian; Koranda, Manfred; Benetka, Wolfgang; Schneider, Georg; Sirota, Fernanda L.; Eisenhaber, Frank";2007;Towards complete sets of farnesylated and geranylgeranylated proteins;Journal Article;PLoS Comput Biol (PLoS Computational Biology);doi:10.1371/journal.pcbi.0030066
"Miggin, Sinead M.; Lawler, Orlaith A.; Kinsella, B. Therese";2002;Investigation of a functional requirement for isoprenylation by the human prostacyclin receptor;Journal Article;European Journal of Biochemistry;doi:10.1046/j.1432-1327.2002.02817.x
"Nantais, D. E.; Schwemmle, M.; Stickney, J. T.; Vestal, D. J.; Buss, J. E.";1996;Prenylation of an interferon-gamma-induced GTP-binding protein: the human guanylate binding protein, huGBP1;Journal Article;Journal of Leukocyte Biology;doi:10.1002/jlb.60.3.423
"Palsuledesai, Charuta C.; Ochocki, Joshua D.; Markowski, Todd W.; Distefano, Mark D.";2014;A combination of metabolic labeling and 2D-DIGE analysis in response to a farnesyltransferase inhibitor facilitates the discovery of new prenylated proteins;Journal Article;Molecular bioSystems;doi:10.1039/c3mb70593e
"Ray, K.; Kunsch, C.; Bonner, L. M.; Robishaw, J. D.";1995;Isolation of cDNA clones encoding eight different human G protein gamma subunits, including three novel forms designated the gamma 4, gamma 10, and gamma 11 subunits;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.270.37.21765
"Schuld, Nathan J.; Vervacke, Jeffrey S.; Lorimer, Ellen L.; Simon, Nathan C.; Hauser, Andrew D.; Barbieri, Joseph T.; Distefano, Mark D.; Williams, Carol L.";2014;The chaperone protein SmgGDS interacts with small GTPases entering the prenylation pathway by recognizing the last amino acid in the CAAX motif;Journal Article;The Journal of biological chemistry;doi:10.1074/jbc.M113.527192
"Shimojo, Masahito; Hersh, Louis B.";2003;REST/NRSF-interacting LIM domain protein, a putative nuclear translocation receptor;Journal Article;Mol Cell Biol (Molecular and Cellular Biology);doi:10.1128/MCB.23.24.9025-9031.2003
"Si, X.; Zeng, Q.; Ng, C. H.; Hong, W.; Pallen, C. J.";2001;Interaction of farnesylated PRL-2, a protein-tyrosine phosphatase, with the beta-subunit of geranylgeranyltransferase II;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M010400200
"Sinensky, M.; Fantle, K.; Trujillo, M.; McLain, T.; Kupfer, A.; Dalton, M.";1994;The processing pathway of prelamin A;Journal Article;Journal of Cell Science;doi:10.1242/jcs.107.1.61
"Smedt, F. de; Boom, A.; Pesesse, X.; Schiffmann, S. N.; Erneux, C.";1996;Post-translational modification of human brain type I inositol-1,4,5-trisphosphate 5-phosphatase by farnesylation;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.271.17.10419
"Srikanth, Sonal; Kim, Kyun-Do; Gao, Yuanyuan; Woo, Jin Seok; Ghosh, Shubhamoy; Calmettes, Guillaume; Paz, Aviv; Abramson, Jeff; Jiang, Meisheng; Gwack, Yousang";2016;A large Rab GTPase encoded by CRACR2A is a component of subsynaptic vesicles that transmit T cell activation signals;Journal Article;Sci. Signal. (Science Signaling);doi:10.1126/scisignal.aac9171
"Storch, Stephan; Pohl, Sandra; Quitsch, Arne; Falley, Katrin; Braulke, Thomas";2007;C-terminal prenylation of the CLN3 membrane glycoprotein is required for efficient endosomal sorting to lysosomes;Journal Article;Traffic;doi:10.1111/j.1600-0854.2007.00537.x
"Storck, Elisabeth M.; Morales-Sanfrutos, Julia; Serwa, Remigiusz A.; Panyain, Nattawadee; Lanyon-Hogg, Thomas; Tolmachova, Tanya; Ventimiglia, Leandro N.; Martin-Serrano, Juan; Seabra, Miguel C.; Wojciak-Stothard, Beata; Tate, Edward W.";2019;Dual chemical probes enable quantitative system-wide analysis of protein prenylation and prenylation dynamics;Journal Article;Nature chemistry;doi:10.1038/s41557-019-0237-6
"Thomas, Sophie; Wright, Kevin J.; Le Corre, Stéphanie; Micalizzi, Alessia; Romani, Marta; Abhyankar, Avinash; Saada, Julien; Perrault, Isabelle; Amiel, Jeanne; Litzler, Julie; Filhol, Emilie; Elkhartoufi, Nadia; Kwong, Mandy; Casanova, Jean-Laurent; Boddaert, Nathalie; Baehr, Wolfgang; Lyonnet, Stanislas; Munnich, Arnold; Burglen, Lydie; Chassaing, Nicolas; Encha-Ravazi, Ferechté; Vekemans, Michel; Gleeson, Joseph G.; Valente, Enza Maria; Jackson, Peter K.; Drummond, Iain A.; Saunier, Sophie; Attié-Bitach, Tania";2014;A homozygous PDE6D mutation in Joubert syndrome impairs targeting of farnesylated INPP5E protein to the primary cilium;Journal Article;Human Mutation;doi:10.1002/humu.22470
"Underwood, K. W.; Song, C.; Kriz, R. W.; Chang, X. J.; Knopf, J. L.; Lin, L. L.";1998;A novel calcium-independent phospholipase A2, cPLA2-gamma, that is prenylated and contains homology to cPLA2;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.273.34.21926
"Wang, Chunfu; Gale, Michael; Keller, Brian C.; Huang, Hua; Brown, Michael S.; Goldstein, Joseph L.; Ye, Jin";2005;Identification of FBL2 as a geranylgeranylated cellular protein required for hepatitis C virus RNA replication;Journal Article;Molecular cell;doi:10.1016/j.molcel.2005.04.004
"Wickenhagen, Arthur; Sugrue, Elena; Lytras, Spyros; Kuchi, Srikeerthana; Noerenberg, Marko; Turnbull, Matthew L.; Loney, Colin; Herder, Vanessa; Allan, Jay; Jarmson, Innes; Cameron-Ruiz, Natalia; Varjak, Margus; Pinto, Rute M.; Lee, Jeffrey Y.; Iselin, Louisa; Palmalux, Natasha; Stewart, Douglas G.; Swingler, Simon; Greenwood, Edward J. D.; Crozier, Thomas W. M.; Gu, Quan; Davies, Emma L.; Clohisey, Sara; Wang, Bo; Trindade Maranhão Costa, Fabio; Freire Santana, Monique; Lima Ferreira, Luiz Carlos de; Murphy, Lee; Fawkes, Angie; Meynert, Alison; Grimes, Graeme; Da Silva Filho, Joao Luiz; Marti, Matthias; Hughes, Joseph; Stanton, Richard J.; Wang, Eddie C. Y.; Ho, Antonia; Davis, Ilan; Jarrett, Ruth F.; Castello, Alfredo; Robertson, David L.; Semple, Malcolm G.; Openshaw, Peter J. M.; Palmarini, Massimo; Lehner, Paul J.; Baillie, J. Kenneth; Rihn, Suzannah J.; Wilson, Sam J.";2021;A prenylated dsRNA sensor protects against severe COVID-19;Journal Article;Science;doi:10.1126/science.abj3624
"Wilson, A. L.; Sheridan, K. M.; Erdman, R. A.; Maltese, W. A.";1996;Prenylation of a Rab1B mutant with altered GTPase activity is impaired in cell-free systems but not in intact mammalian cells;Journal Article;Biochemical Journal;doi:10.1042/bj3181007
